,ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
690,699,86.8662827,252.0,12.3,3.6,4.0,4.0,11.5,Automatic,101.0,SUBCOMPACT,1.41,10.0,19.0,6.1,Petrol,31.0
691,700,57.04209989,376.0,16.4,3.6,13.0,11.0,21.5,Automatic,169.0,PICKUP TRUCK - STANDARD,1.43,10.0,17.0,7.6,Petrol,13.0
692,701,87.14417771,222.0,15.8,3.5,5.0,4.0,10.3,Automatic,128.0,COMPACT,1.48,10.0,22.0,7.9,Gas,24.0
693,702,81.63250197,280.0,11.2,2.4,17.0,4.0,8.9,Automatic,113.0,FULL-SIZE,1.69,10.0,23.0,6.7,Petrol,28.0
694,703,69.9994523,227.0,6.9,3.3,5.0,4.0,7.8,Manual,84.0,MID-SIZE,1.52,10.0,19.0,6.1,Petrol,34.0
695,704,68.18348872,238.0,7.4,5.3,5.0,6.0,9.5,Automatic,152.0,MINIVAN,1.34,10.0,23.0,9.0,Petrol,29.0
696,705,90.07102853,271.0,6.5,3.8,7.0,6.0,12.1,Manual,142.0,MINIVAN,1.31,10.0,22.0,8.7,Petrol,19.0
697,706,117.1408189,186.0,12.6,3.7,8.0,6.0,19.8,Automatic,178.0,SUV - STANDARD,1.61,10.0,17.0,8.8,Petrol,23.0
698,707,72.22422229,154.0,6.7,1.7,5.0,4.0,9.0,Manual,65.0,STATION WAGON - SMALL,1.42,10.0,20.0,7.2,Gas,41.0
699,708,70.54757102,267.0,17.6,5.9,5.0,8.0,15.6,Automatic,246.0,SUBCOMPACT,1.67,10.0,18.0,8.5,Gas,22.0
700,709,55.40261005,331.0,12.6,3.4,4.0,6.0,12.4,Automatic,164.0,MINICOMPACT,1.42,10.0,16.0,8.1,Petrol,23.0
701,710,73.71612208,180.0,12.3,3.6,5.0,6.0,17.2,Automatic,167.0,PICKUP TRUCK - STANDARD,1.39,10.0,20.0,7.1,Petrol,27.0
702,711,85.62278768,225.0,10.4,2.0,7.0,4.0,9.6,Automatic,108.0,SUV - STANDARD,1.44,10.0,18.0,7.3,Petrol,33.0
703,712,114.1645669,305.0,18.7,3.4,7.0,6.0,18.0,Automatic,188.0,SUV - STANDARD,1.43,10.0,22.0,10.2,Petrol,25.0
704,713,76.99170251,180.0,6.0,1.3,5.0,4.0,7.4,Automatic,100.0,TWO-SEATER,1.48,10.0,16.0,10.7,Diesel,37.0
705,714,52.6042457,304.0,12.8,5.8,5.0,8.0,13.2,Automatic,204.0,COMPACT,1.6,10.0,18.0,12.2,Gas,18.0
706,715,73.09610515,272.0,14.2,3.7,8.0,6.0,12.8,Automatic,154.0,COMPACT,1.64,10.0,16.0,10.6,Gas,15.0
707,716,54.45444133,303.0,17.2,5.3,5.0,8.0,12.2,Automatic,316.0,FULL-SIZE,1.54,10.0,22.0,9.0,Gas,28.0
708,717,55.12916754,277.0,13.8,3.6,5.0,6.0,15.4,Automatic,164.0,FULL-SIZE,1.53,10.0,18.0,8.2,Gas,17.0
709,718,84.73262819,190.0,9.1,1.8,5.0,4.0,6.7,Automatic,100.0,MID-SIZE,1.48,10.0,19.0,7.2,Petrol,35.0
710,719,117.3828441,262.0,13.4,1.9,5.0,4.0,8.8,Manual,119.0,SUV - SMALL,1.33,10.0,22.0,6.9,Petrol,32.0
711,720,112.980485,188.0,10.8,2.3,4.0,4.0,7.3,Automatic,108.0,MINICOMPACT,1.48,10.0,15.0,4.9,Gas,39.0
712,721,62.47740261,258.0,12.0,5.4,4.0,8.0,13.2,Manual,220.0,MINICOMPACT,1.34,10.0,24.0,12.0,Petrol,16.0
713,722,89.9162052,218.0,11.8,1.9,5.0,4.0,7.5,Automatic,129.0,SUV - SMALL,1.18,10.0,21.0,6.3,Petrol,42.0
714,723,73.11097725,210.0,19.4,4.0,2.0,8.0,21.6,Manual,275.0,TWO-SEATER,1.63,10.0,19.0,13.8,Gas,28.0
715,724,107.5615709,247.0,11.6,1.8,13.0,4.0,8.0,Automatic,91.0,COMPACT,1.45,10.0,18.0,9.3,Gas,21.0
716,725,61.18258614,181.0,9.5,2.8,5.0,6.0,10.1,Automatic,136.0,SUV - SMALL,1.32,10.0,16.0,12.8,Gas,18.0
717,726,79.3129312,225.0,12.2,2.2,5.0,6.0,9.9,Automatic,113.0,SUV - SMALL,1.52,10.0,17.0,8.0,Petrol,45.0
718,727,88.94601209,190.0,10.3,1.8,4.0,4.0,8.2,Automatic,88.0,MINICOMPACT,1.28,10.0,17.0,7.9,Gas,37.0
719,728,82.4739367,188.0,12.4,1.5,13.0,4.0,7.9,Automatic,100.0,SUV - SMALL,1.06,10.0,20.0,6.7,Petrol,49.0
720,729,114.4738913,211.0,8.6,1.8,5.0,4.0,8.2,Automatic,108.0,COMPACT,1.44,10.0,17.0,7.8,Gas,28.0
721,730,82.01533525,250.0,20.0,2.6,5.0,4.0,12.4,Automatic,134.0,PICKUP TRUCK - SMALL,0.91,10.0,19.0,9.0,Petrol,26.0
722,731,62.02744183,207.0,10.2,2.0,5.0,4.0,9.5,Automatic,96.0,COMPACT,1.35,10.0,18.0,5.6,Petrol,49.0
723,732,65.94181161,161.0,8.2,2.2,4.0,4.0,7.1,Automatic,77.0,COMPACT,1.42,10.0,17.0,8.4,Gas,28.0
724,733,97.91568354,184.0,7.6,1.2,16.0,4.0,7.1,Manual,57.0,COMPACT,1.43,10.0,14.0,5.5,Gas,39.0
725,734,71.4134386,312.0,11.0,3.8,7.0,6.0,16.4,Automatic,166.0,SUV - STANDARD,1.34,10.0,19.0,15.3,Petrol,14.0
726,735,55.77351968,151.0,7.0,2.0,5.0,4.0,6.1,Automatic,68.0,MID-SIZE,1.35,10.0,17.0,8.0,Diesel,41.0
727,736,86.70689778,217.0,12.1,2.5,5.0,4.0,12.6,Automatic,111.0,MID-SIZE,1.55,10.0,17.0,7.4,Gas,23.0
728,737,64.30870749,225.0,8.3,2.3,5.0,4.0,10.5,Automatic,89.0,COMPACT,1.73,10.0,17.0,8.9,Gas,29.0
729,738,98.27680111,286.0,12.3,1.8,4.0,4.0,8.7,Automatic,127.0,MINICOMPACT,1.44,10.0,19.0,9.0,Gas,32.0
730,739,70.46962795,306.0,14.4,3.4,5.0,6.0,25.1,Automatic,251.0,SUV - STANDARD,1.69,10.0,17.0,18.3,Gas,21.0
731,740,167.0709341,297.0,9.2,1.7,13.0,4.0,7.0,Automatic,112.0,COMPACT,0.99,10.0,19.0,7.6,Petrol,46.0
732,741,76.83787657,155.0,6.4,1.8,5.0,4.0,8.3,Manual,85.0,COMPACT,1.49,10.0,16.0,4.9,Gas,37.0
733,742,67.82854148,298.0,16.9,6.2,5.0,8.0,15.7,Automatic,278.0,COMPACT,1.71,10.0,19.0,10.6,Gas,22.0
734,743,118.5159916,207.0,7.5,2.0,5.0,4.0,8.3,Manual,84.0,COMPACT,1.44,10.0,18.0,6.1,Petrol,24.0
735,744,59.45948956,212.0,8.0,3.4,7.0,6.0,9.4,Automatic,179.0,SUV - STANDARD,1.42,10.0,18.0,7.0,Petrol,30.0
736,745,85.95444651,179.0,16.3,1.6,7.0,6.0,10.5,Automatic,106.0,SUV - STANDARD,1.41,10.0,17.0,7.4,Gas,19.0
737,746,77.11542205,255.0,12.5,3.4,7.0,6.0,14.3,Automatic,164.0,SUV - STANDARD,1.33,10.0,24.0,9.6,Petrol,29.0
738,747,59.85855967,232.0,9.4,2.2,5.0,4.0,13.5,Automatic,80.0,MID-SIZE,1.1,10.0,17.0,6.7,Petrol,25.0
739,748,108.6807828,214.0,10.1,2.1,5.0,4.0,8.4,Automatic,96.0,COMPACT,1.33,10.0,18.0,7.7,Petrol,19.0
740,749,52.79763408,336.0,27.8,5.9,7.0,8.0,25.8,Automatic,363.0,PICKUP TRUCK - STANDARD,1.33,10.0,25.0,16.9,Petrol,13.0
741,750,79.85425676,444.0,18.6,3.6,2.0,8.0,22.1,Automatic,283.0,MID-SIZE,1.66,10.0,19.0,7.9,Gas,15.0
742,751,74.68827552,283.0,11.1,1.8,4.0,6.0,11.2,Manual,171.0,MINICOMPACT,1.46,10.0,17.0,6.3,Gas,21.0
743,752,69.60525649,212.0,7.7,1.9,5.0,4.0,6.6,Automatic,95.0,MID-SIZE,1.52,10.0,15.0,7.0,Diesel,40.0
744,753,97.82002064,214.0,17.2,2.5,5.0,4.0,12.3,Automatic,102.0,MID-SIZE,1.36,10.0,19.0,8.5,Gas,28.0
745,754,101.8755015,205.0,7.9,2.3,5.0,4.0,9.9,Automatic,105.0,COMPACT,1.44,10.0,21.0,6.9,Petrol,60.0
746,755,72.37438212,282.0,12.6,3.4,5.0,6.0,11.7,Automatic,139.0,SUV - STANDARD,1.4,10.0,24.0,12.7,Petrol,21.0
747,756,101.2794363,227.0,13.2,2.6,4.0,4.0,8.9,Automatic,114.0,FULL-SIZE,1.39,10.0,17.0,9.9,Gas,33.0
748,758,73.73796089,221.0,7.7,2.4,5.0,4.0,8.4,Automatic,110.0,MID-SIZE,1.45,10.0,17.0,6.1,Petrol,31.0
749,759,101.1229977,302.0,21.3,3.9,5.0,8.0,19.2,Automatic,348.0,FULL-SIZE,1.62,10.0,26.0,13.1,Gas,21.0
750,760,55.98216266,310.0,18.5,5.4,5.0,8.0,12.2,Automatic,231.0,COMPACT,1.54,10.0,18.0,7.6,Gas,26.0
751,761,69.74213031,408.0,26.6,3.8,14.0,8.0,16.8,Automatic,246.0,SUV - STANDARD,1.5,10.0,22.0,15.7,Petrol,12.0
752,762,101.0759707,269.0,14.5,4.2,2.0,8.0,12.8,Manual,262.0,TWO-SEATER,1.3,10.0,19.0,13.9,Gas,31.0
753,763,104.7315984,196.0,8.4,3.0,5.0,4.0,7.5,Automatic,138.0,MID-SIZE,1.58,10.0,22.0,7.4,Petrol,24.0
754,764,50.99280509,226.0,11.1,3.3,7.0,6.0,7.9,Manual,142.0,SUV - STANDARD,1.49,10.0,17.0,8.5,Petrol,30.0
755,765,79.54735904,396.0,28.5,4.9,17.0,8.0,14.0,Automatic,266.0,MINIVAN,1.48,10.0,25.0,10.9,Petrol,21.0
756,766,73.17818051,267.0,11.4,3.6,5.0,6.0,12.3,Manual,152.0,COMPACT,1.57,10.0,19.0,10.5,Gas,38.0
757,767,114.6433914,304.0,14.1,2.9,5.0,6.0,11.7,Automatic,109.0,SUV - SMALL,1.55,10.0,22.0,8.8,Gas,18.0
758,768,98.15304215,187.0,9.6,3.3,5.0,6.0,7.6,Automatic,99.0,MID-SIZE,1.53,10.0,16.0,9.2,Petrol,30.0
759,769,71.52638216,357.0,14.3,5.1,7.0,6.0,22.4,Automatic,173.0,SUV - STANDARD,1.57,10.0,19.0,14.4,Petrol,21.0
760,770,80.6556784,252.0,17.6,6.3,13.0,8.0,16.5,Automatic,300.0,SUV - STANDARD,1.3,10.0,22.0,13.0,Petrol,20.0
761,771,73.56327374,196.0,11.5,3.2,4.0,6.0,9.3,Automatic,171.0,MID-SIZE,1.44,10.0,14.0,8.1,Gas,29.0
762,772,97.32427505,222.0,12.5,2.2,15.0,4.0,9.3,Automatic,120.0,SUBCOMPACT,1.42,10.0,17.0,5.3,Petrol,38.0
763,773,62.51294056,225.0,9.6,1.7,5.0,4.0,6.0,Automatic,76.0,COMPACT,1.28,10.0,19.0,5.2,Gas,52.0
764,774,92.95399616,237.0,9.8,1.6,14.0,4.0,8.3,Automatic,125.0,MINICOMPACT,0.98,10.0,20.0,7.1,Petrol,33.0
765,775,94.67248722,254.0,7.1,2.3,5.0,4.0,8.1,Manual,109.0,STATION WAGON - SMALL,1.44,10.0,10.0,6.1,Petrol,60.0
766,776,69.84075636,242.0,9.7,1.9,5.0,4.0,8.5,Automatic,126.0,COMPACT,1.02,10.0,19.0,7.6,Petrol,41.0
767,777,149.5404814,236.0,6.9,2.7,4.0,6.0,6.6,Manual,117.0,MINICOMPACT,1.29,10.0,17.0,6.7,Gas,45.0
768,778,50.16311809,424.0,19.0,4.4,2.0,8.0,16.3,Manual,263.0,TWO-SEATER,1.6,10.0,20.0,16.5,Gas,16.0
769,779,95.42038297,291.0,10.6,3.0,16.0,4.0,9.6,Automatic,152.0,SUV - SMALL,1.41,10.0,20.0,9.1,Petrol,22.0
770,780,51.36790667,322.0,14.6,5.2,4.0,8.0,13.2,Automatic,226.0,SUBCOMPACT,1.46,10.0,16.0,11.6,Diesel,20.0
771,781,56.82264017,275.0,18.7,4.2,5.0,8.0,13.8,Automatic,254.0,MID-SIZE,1.53,10.0,19.0,9.0,Gas,27.0
772,782,86.07917862,212.0,11.1,1.6,14.0,4.0,7.6,Automatic,69.0,COMPACT,1.13,10.0,16.0,6.3,Petrol,35.0
773,783,107.0310681,182.0,10.1,1.7,5.0,4.0,10.7,Automatic,112.0,PICKUP TRUCK - STANDARD,1.33,10.0,18.0,7.0,Petrol,36.0
774,784,57.03341212,150.0,10.9,3.7,5.0,4.0,9.4,Automatic,173.0,FULL-SIZE,1.61,10.0,19.0,7.3,Petrol,30.0
775,785,93.54447822,218.0,12.7,2.2,5.0,4.0,10.7,Automatic,105.0,SUV - SMALL,1.32,10.0,18.0,7.0,Petrol,24.0
776,786,58.09906664,384.0,11.5,2.7,5.0,6.0,12.7,Automatic,179.0,MID-SIZE,1.33,10.0,24.0,8.4,Petrol,29.0
777,787,91.88119465,163.0,8.0,2.8,5.0,4.0,8.4,Automatic,111.0,MID-SIZE,1.6,10.0,18.0,6.3,Petrol,37.0
778,788,62.06940266,286.0,11.9,3.8,8.0,6.0,9.3,Automatic,168.0,SUV - STANDARD,1.47,10.0,19.0,9.9,Petrol,30.0
779,790,179.1589485,254.0,8.6,1.5,14.0,4.0,7.8,Manual,97.0,SUBCOMPACT,1.33,10.0,21.0,6.2,Petrol,29.0
780,791,59.74704977,335.0,19.1,5.8,4.0,8.0,15.3,Automatic,304.0,MINICOMPACT,1.26,10.0,16.0,13.9,Gas,28.0
781,792,63.69930877,341.0,20.0,4.5,2.0,8.0,12.0,Automatic,218.0,SUBCOMPACT,1.64,10.0,24.0,15.2,Gas,20.0
782,793,82.18390762,258.0,12.6,3.7,5.0,6.0,12.0,Automatic,163.0,PICKUP TRUCK - STANDARD,1.34,10.0,20.0,15.8,Petrol,25.0
783,794,57.78281112,261.0,18.9,3.6,7.0,6.0,15.6,Automatic,150.0,SUV - STANDARD,1.03,10.0,19.0,8.6,Petrol,18.0
784,795,112.255911,226.0,10.7,1.7,5.0,4.0,10.0,Automatic,99.0,SUV - SMALL,1.39,10.0,17.0,6.3,Petrol,39.0
785,796,60.92663897,265.0,11.0,2.6,5.0,4.0,10.1,Automatic,77.0,SUV - SMALL,1.32,10.0,18.0,8.2,Petrol,20.0
786,797,62.51212197,362.0,30.2,5.9,12.0,8.0,17.0,Automatic,336.0,VAN - CARGO,1.24,10.0,23.0,19.8,Petrol,11.0
787,798,88.75249479,234.0,9.2,3.3,13.0,4.0,8.4,Automatic,110.0,PICKUP TRUCK - STANDARD,1.36,10.0,17.0,6.8,Petrol,23.0
788,799,59.3828997,276.0,13.7,3.5,5.0,6.0,12.3,Automatic,177.0,PICKUP TRUCK - STANDARD,1.44,10.0,23.0,14.4,Petrol,25.0
789,800,90.38912181,212.0,10.9,1.3,5.0,4.0,11.4,Automatic,99.0,COMPACT,1.42,10.0,17.0,7.5,Gas,34.0
790,801,90.86595139,282.0,17.7,3.6,5.0,6.0,11.3,Automatic,153.0,PICKUP TRUCK - STANDARD,1.26,10.0,19.0,8.7,Petrol,22.0
791,802,69.83075332,277.0,11.9,3.7,5.0,6.0,14.5,Automatic,171.0,FULL-SIZE,1.49,10.0,18.0,8.2,Petrol,20.0
792,803,68.51860878,368.0,13.6,4.5,5.0,8.0,14.5,Automatic,276.0,PICKUP TRUCK - SMALL,1.37,10.0,16.0,10.3,Gas,24.0
793,804,66.03228618,272.0,14.7,4.1,5.0,6.0,13.6,Automatic,180.0,COMPACT,1.53,10.0,17.0,10.4,Gas,34.0
794,805,124.4948383,262.0,12.8,2.3,4.0,4.0,8.6,Automatic,107.0,SUV - SMALL,1.4,10.0,19.0,8.6,Gas,38.0
795,806,61.93738734,391.0,10.0,2.2,4.0,6.0,13.9,Automatic,178.0,MID-SIZE,1.35,10.0,16.0,8.9,Gas,34.0
796,807,110.8192922,288.0,26.6,4.2,5.0,8.0,11.6,Automatic,231.0,SUBCOMPACT,1.45,10.0,17.0,11.1,Gas,23.0
797,808,77.29222834,326.0,26.7,5.7,13.0,8.0,18.5,Automatic,335.0,VAN - CARGO,1.28,10.0,23.0,13.0,Petrol,19.0
798,809,58.87406174,232.0,13.2,3.3,4.0,6.0,14.3,Automatic,149.0,SUV - SMALL,1.51,10.0,16.0,8.6,Gas,29.0
799,810,87.86879197,260.0,14.2,3.0,5.0,4.0,12.7,Manual,100.0,STATION WAGON - SMALL,1.42,10.0,21.0,6.1,Petrol,32.0
800,811,81.62409494,456.0,19.0,4.7,5.0,8.0,19.0,Automatic,272.0,MINICOMPACT,1.7,10.0,17.0,10.7,Gas,18.0
801,812,146.3340325,167.0,9.4,1.8,5.0,4.0,9.3,Automatic,84.0,COMPACT,1.37,10.0,15.0,5.6,Petrol,49.0
802,813,93.53857227,182.0,10.9,2.7,5.0,4.0,12.1,Manual,112.0,SUV - SMALL,1.41,10.0,17.0,8.3,Petrol,29.0
803,814,83.89929365,231.0,8.3,1.9,13.0,4.0,10.8,Automatic,131.0,SUV - SMALL,0.97,10.0,20.0,5.5,Petrol,33.0
804,815,60.02626259,232.0,10.2,2.6,7.0,4.0,8.5,Automatic,103.0,COMPACT,1.43,10.0,16.0,6.5,Diesel,37.0
805,816,62.78452184,344.0,16.7,4.3,5.0,8.0,14.7,Automatic,239.0,PICKUP TRUCK - STANDARD,1.25,10.0,19.0,12.9,Gas,23.0
806,817,63.31337407,285.0,11.4,3.6,4.0,6.0,10.7,Automatic,145.0,SUBCOMPACT,1.43,10.0,17.0,9.5,Gas,32.0
807,818,65.74269381,242.0,12.4,3.4,2.0,8.0,9.6,Manual,278.0,COMPACT,1.46,10.0,17.0,15.2,Gas,23.0
808,819,90.008824,190.0,9.3,1.9,14.0,4.0,7.6,Manual,109.0,MID-SIZE,1.35,10.0,18.0,7.3,Petrol,27.0
809,820,55.04551859,237.0,12.2,3.8,5.0,4.0,15.6,Manual,106.0,SUV - SMALL,1.49,10.0,22.0,12.3,Petrol,27.0
810,821,70.43886184,313.0,19.7,5.5,16.0,8.0,12.8,Automatic,166.0,VAN - PASSENGER,1.43,10.0,20.0,18.7,Petrol,17.0
811,822,79.17301664,393.0,12.7,4.7,5.0,8.0,10.8,Automatic,264.0,MID-SIZE,1.6,10.0,19.0,13.7,Gas,22.0
812,823,92.23579079,168.0,9.5,2.1,5.0,4.0,7.9,Automatic,125.0,MID-SIZE,1.33,10.0,16.0,6.3,Petrol,34.0
813,824,54.37022964,401.0,22.6,6.4,13.0,8.0,21.3,Automatic,334.0,MID-SIZE,1.49,10.0,22.0,14.2,Petrol,17.0
814,825,67.23202216,228.0,12.5,1.7,4.0,6.0,9.7,Automatic,154.0,MINICOMPACT,1.46,10.0,16.0,9.6,Gas,25.0
815,826,99.49861037,265.0,12.6,1.8,5.0,4.0,7.7,Automatic,104.0,SUV - SMALL,1.28,10.0,18.0,6.2,Petrol,38.0
816,827,69.42574326,368.0,10.4,3.6,7.0,6.0,14.6,Automatic,152.0,SUV - STANDARD,1.46,10.0,19.0,11.0,Petrol,19.0
817,828,91.67278852,206.0,11.1,1.9,7.0,6.0,10.5,Automatic,113.0,SUV - STANDARD,1.03,10.0,19.0,9.4,Petrol,31.0
818,829,58.92261106,259.0,8.6,3.4,5.0,6.0,11.6,Automatic,141.0,MID-SIZE,1.48,10.0,17.0,10.9,Diesel,23.0
819,830,115.1876091,170.0,8.7,2.1,2.0,6.0,13.0,Automatic,151.0,TWO-SEATER,1.3,10.0,19.0,8.6,Gas,31.0
820,831,67.36489312,375.0,12.4,5.5,2.0,8.0,20.4,Manual,233.0,SUV - STANDARD,1.49,10.0,19.0,13.3,Gas,26.0
821,832,82.72575052,180.0,9.4,2.3,12.0,4.0,8.9,Manual,133.0,PICKUP TRUCK - SMALL,1.29,10.0,19.0,6.9,Petrol,42.0
822,833,101.3225768,228.0,9.5,1.8,5.0,4.0,8.4,Automatic,97.0,FULL-SIZE,1.35,10.0,15.0,8.1,Petrol,27.0
823,834,68.79019645,246.0,8.4,3.4,5.0,6.0,10.8,Automatic,138.0,PICKUP TRUCK - STANDARD,1.23,10.0,17.0,8.3,Petrol,26.0
824,835,64.36455235,231.0,9.1,1.7,4.0,10.0,7.2,Manual,146.0,STATION WAGON - SMALL,1.29,10.0,18.0,9.2,Petrol,27.0
825,836,58.02744789,201.0,8.9,3.5,5.0,6.0,10.5,Automatic,165.0,FULL-SIZE,1.55,10.0,16.0,7.8,Gas,27.0
826,837,70.0660114,195.0,10.4,3.4,5.0,4.0,8.3,Automatic,121.0,MID-SIZE,1.49,10.0,20.0,8.0,Petrol,28.0
827,838,86.87554745,244.0,12.7,2.0,17.0,4.0,9.9,Manual,83.0,COMPACT,1.36,10.0,21.0,6.4,Petrol,31.0
828,839,110.9794286,280.0,9.8,2.0,2.0,4.0,12.5,Automatic,106.0,SUV - STANDARD,1.04,10.0,23.0,9.0,Petrol,25.0
829,840,212.0,170.0,9.1,2.6,5.0,4.0,7.2,Automatic,124.0,COMPACT,1.39,10.0,18.0,8.5,Petrol,40.0
830,841,67.14776949,268.0,18.8,4.3,13.0,8.0,10.0,Automatic,238.0,SUV - STANDARD,1.3,10.0,24.0,18.8,Petrol,15.0
831,842,101.6789802,200.0,8.3,2.0,5.0,4.0,8.4,Automatic,94.0,STATION WAGON - SMALL,1.37,10.0,16.0,5.2,Gas,58.0
832,843,66.59095452,263.0,17.4,3.7,7.0,6.0,18.1,Automatic,170.0,SUV - STANDARD,1.38,10.0,19.0,12.2,Petrol,19.0
833,844,67.17850081,171.0,7.1,1.9,5.0,4.0,7.0,Automatic,73.0,COMPACT,1.31,10.0,12.0,7.4,Petrol,60.0
834,845,71.66063946,263.0,12.5,2.6,5.0,6.0,9.7,Automatic,183.0,MID-SIZE,1.47,10.0,19.0,10.7,Petrol,31.0
835,846,83.0271381,224.0,12.8,1.3,5.0,4.0,11.3,Automatic,97.0,COMPACT,1.45,10.0,19.0,8.2,Gas,29.0
836,847,69.61790103,186.0,11.4,2.1,4.0,4.0,7.3,Automatic,92.0,SUBCOMPACT,1.3,10.0,20.0,4.9,Petrol,51.0
837,848,118.8641908,224.0,10.3,2.0,14.0,4.0,10.3,Automatic,118.0,SUBCOMPACT,0.87,10.0,19.0,5.7,Petrol,60.0
838,849,94.48189768,248.0,11.8,3.5,7.0,4.0,10.2,Automatic,94.0,COMPACT,1.43,10.0,18.0,10.1,Gas,36.0
839,850,74.23417143,203.0,15.1,3.4,5.0,4.0,8.7,Automatic,89.0,SUV - SMALL,1.48,10.0,18.0,7.5,Gas,27.0
840,851,86.93628668,205.0,10.3,1.7,5.0,4.0,7.6,Automatic,66.0,SUV - SMALL,1.35,10.0,14.0,5.1,Petrol,32.0
841,852,61.0771687,228.0,14.5,3.5,7.0,6.0,15.7,Automatic,180.0,SUV - STANDARD,1.37,10.0,19.0,14.4,Petrol,26.0
842,853,106.1871687,226.0,10.4,2.3,5.0,6.0,8.5,Automatic,158.0,MID-SIZE,1.61,10.0,17.0,7.5,Diesel,33.0
843,854,70.89372879,265.0,10.0,2.2,5.0,4.0,6.8,Manual,90.0,MID-SIZE,1.6,10.0,17.0,6.4,Petrol,34.0
844,855,65.54243435,240.0,17.6,3.5,5.0,6.0,12.1,Automatic,178.0,SUV - STANDARD,1.36,10.0,18.0,7.4,Petrol,27.0
845,856,58.81016913,293.0,9.5,3.6,5.0,4.0,9.1,Automatic,158.0,COMPACT,1.53,10.0,19.0,10.3,Petrol,26.0
846,857,78.30033894,416.0,15.1,3.5,15.0,8.0,23.3,Automatic,334.0,PICKUP TRUCK - STANDARD,1.43,10.0,21.0,11.6,Gas,20.0
847,858,97.01753643,311.0,8.6,3.6,14.0,6.0,11.0,Automatic,160.0,COMPACT,1.4,10.0,17.0,8.2,Petrol,13.0
848,859,62.166497,262.0,11.5,5.5,5.0,6.0,12.0,Automatic,259.0,MID-SIZE,1.48,10.0,18.0,9.8,Gas,28.0
849,860,80.04034832,235.0,14.3,3.0,5.0,6.0,7.6,Automatic,161.0,MID-SIZE,1.17,10.0,17.0,8.6,Gas,30.0
850,861,95.73800182,271.0,10.5,2.7,5.0,4.0,13.4,Manual,123.0,MID-SIZE,1.47,10.0,17.0,11.2,Petrol,39.0
851,862,78.74559891,285.0,13.1,3.4,4.0,6.0,9.9,Automatic,176.0,MINICOMPACT,1.34,10.0,17.0,9.9,Gas,20.0
852,863,105.6931386,249.0,16.9,3.7,5.0,6.0,12.5,Automatic,186.0,FULL-SIZE,1.64,10.0,18.0,9.5,Gas,18.0
853,864,66.27315254,292.0,11.4,3.2,5.0,4.0,12.0,Automatic,173.0,MID-SIZE,1.38,10.0,21.0,9.2,Gas,30.0
854,865,121.2450481,284.0,9.3,2.4,5.0,4.0,13.3,Automatic,109.0,COMPACT,1.37,10.0,18.0,7.3,Gas,29.0
855,866,125.0226326,237.0,13.2,2.7,5.0,4.0,6.4,Manual,117.0,COMPACT,1.38,10.0,22.0,6.5,Gas,36.0
856,867,98.8343229,317.0,16.8,5.6,5.0,8.0,9.1,Automatic,279.0,FULL-SIZE,1.67,10.0,17.0,10.2,Gas,28.0
857,868,110.1437469,239.0,10.2,2.0,2.0,4.0,11.5,Manual,96.0,MID-SIZE,1.41,10.0,15.0,6.6,Gas,38.0
858,869,95.60700386,436.0,28.1,6.7,12.0,8.0,13.3,Automatic,295.0,PICKUP TRUCK - STANDARD,1.35,10.0,22.0,16.2,Petrol,17.0
859,870,107.7416999,262.0,9.2,1.2,16.0,4.0,9.4,Manual,117.0,PICKUP TRUCK - SMALL,1.2,10.0,15.0,4.9,Petrol,54.0
860,871,95.33199749,211.0,12.3,2.0,5.0,4.0,8.4,Automatic,125.0,SUV - SMALL,1.18,10.0,18.0,7.1,Petrol,34.0
861,872,66.58885844,286.0,13.3,1.6,5.0,6.0,10.5,Automatic,177.0,SUV - STANDARD,1.39,10.0,19.0,11.3,Gas,20.0
862,873,73.46113724,314.0,13.9,4.8,2.0,8.0,13.6,Manual,256.0,TWO-SEATER,1.69,10.0,16.0,12.5,Gas,27.0
863,874,67.3859261,270.0,13.8,3.6,5.0,6.0,11.0,Automatic,176.0,SUV - STANDARD,1.33,10.0,17.0,7.2,Petrol,22.0
864,875,77.62201489,375.0,30.2,5.7,5.0,8.0,11.6,Automatic,283.0,MID-SIZE,1.56,10.0,19.0,9.7,Gas,20.0
865,876,55.76751307,272.0,10.9,2.5,5.0,6.0,7.3,Automatic,154.0,SUV - STANDARD,1.35,10.0,17.0,7.7,Petrol,26.0
866,877,59.64980929,386.0,19.2,3.7,5.0,8.0,18.1,Automatic,236.0,SUV - STANDARD,1.59,10.0,19.0,14.2,Petrol,15.0
867,878,62.78904396,238.0,10.0,2.3,16.0,6.0,11.6,Manual,165.0,SUV - SMALL,1.37,10.0,18.0,6.7,Petrol,28.0
868,879,80.64474111,195.0,8.1,1.6,5.0,4.0,8.0,Manual,91.0,COMPACT,1.38,10.0,17.0,5.5,Petrol,39.0
869,880,65.80396516,283.0,9.9,3.0,7.0,6.0,8.7,Automatic,151.0,MID-SIZE,1.27,10.0,17.0,12.1,Gas,23.0
