ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
1142,78.80759281,289,14.1,2.6,2,4,8.2,Manual,76,STATION WAGON - SMALL,1.4,10,17,6.1,Gas,31
1143,94.60659466,206,12,1.7,18,4,11.4,Automatic,114,VAN - PASSENGER,1.19,10,17,6.3,Petrol,33
1144,53.00868739,243,8.4,3.5,5,6,8.4,Automatic,160,MID-SIZE,1.47,10,17,8.6,Gas,31
1145,92.852791,306,15.6,4.4,4,8,14.2,Automatic,245,SUBCOMPACT,1.36,10,19,10.7,Gas,22
1146,84.17433986,277,15.8,2.9,5,4,7.6,Automatic,105,COMPACT,1.53,10,16,8.2,Gas,20
1147,102.9836203,265,5.3,1.4,5,6,8.7,Automatic,66,STATION WAGON - SMALL,1.29,10,17,7.2,Diesel,29
1148,106.0064197,163,9.7,1.5,5,4,7.1,Automatic,81,FULL-SIZE,1.33,10,16,6.5,Petrol,49
1149,153.902522,263,8,1.3,15,4,6.7,Automatic,75,TWO-SEATER,0.87,10,20,6.6,Petrol,60
1150,96.31528624,229,11.6,2.5,5,4,8.8,Automatic,99,COMPACT,1.34,10,19,7.6,Gas,28
1151,74.3246459,312,18.8,3.4,7,6,21.6,Automatic,170,SUV - STANDARD,0.87,10,19,11,Petrol,20
1152,90.96930908,186,9,2.1,5,4,8.5,Automatic,154,MID-SIZE,1.46,10,18,7,Petrol,25
1153,82.27743791,269,9.9,2.1,4,6,9.7,Automatic,131,MINICOMPACT,1.15,10,15,8.6,Petrol,26
1154,97.73651181,255,19.9,4.7,16,9,24.1,Automatic,378,VAN - PASSENGER,1.28,10,23,10.9,Petrol,14
1155,97.90669161,349,20.4,1.7,15,5,10.1,Automatic,103,VAN - CARGO,1.28,10,22,6.8,Petrol,24
1156,108.7806346,253,16.4,1.8,5,4,7.6,Automatic,101,FULL-SIZE,1.41,10,18,6.8,Gas,25
1157,61.3424015,175,7.9,1.9,5,4,8,Manual,111,COMPACT,1.32,10,17,9.5,Petrol,32
1158,109.2440138,295,9.9,2.8,5,4,7.6,Automatic,104,SUV - SMALL,1.31,10,23,9.4,Gas,31
1159,67.47558525,424,21.2,4.8,5,8,20,Automatic,293,FULL-SIZE,1.71,10,22,13.6,Gas,13
1160,56.10758111,292,20.5,2.6,5,6,11,Automatic,160,PICKUP TRUCK - STANDARD,1.39,10,23,8.8,Petrol,20
1161,81.64397999,224,12.1,1.7,4,4,7.4,Manual,79,COMPACT,1.23,10,17,7.2,Petrol,24
1162,79.80804035,260,11.1,3.5,7,6,11.4,Automatic,158,SUV - STANDARD,1.44,10,17,6.5,Petrol,29
1163,70.58002509,318,15.8,3.6,5,6,15.8,Automatic,320,SUV - STANDARD,1.48,10,19,10,Gas,22
1164,93.3030583,218,7.7,1.5,5,4,9.6,Automatic,95,COMPACT,1.22,10,21,7,Petrol,39
1165,59.57821508,398,20.3,4.6,5,8,25.8,Automatic,294,FULL-SIZE,1.72,10,30,12.5,Gas,16
1166,88.3890219,153,8.3,2,15,4,6.8,Manual,92,STATION WAGON - SMALL,1.01,10,11,5.8,Petrol,34
1167,92.26803992,205,12.8,3,5,6,11.6,Automatic,172,MID-SIZE,1.23,10,17,8.9,Gas,27
1168,106.2924275,279,8.4,2.9,5,6,10.6,Manual,73,COMPACT,1.52,10,18,8.7,Gas,29
1169,63.22308445,239,7.6,3.5,5,6,20.4,Automatic,163,COMPACT,1.37,10,19,7.9,Gas,21
1170,56.63560851,272,12.8,3.9,2,8,16.1,Automatic,195,COMPACT,1.61,10,16,12.1,Gas,29
1171,68.78364585,233,6.8,2.6,13,6,10.6,Automatic,73,MID-SIZE,1.3,10,17,7.8,Petrol,35
1172,89.27703905,234,7.6,3.7,5,4,15.7,Automatic,178,COMPACT,1.22,10,20,10,Petrol,28
1173,87.68572549,313,15.7,3.6,7,6,12.5,Automatic,179,SUV - STANDARD,1.45,10,19,11.2,Petrol,21
1174,96.90355325,297,12.3,2.9,5,4,9.8,Automatic,106,SUV - SMALL,1.43,10,22,11.8,Petrol,24
1175,107.0078564,233,11.4,2.4,5,4,7.6,Automatic,105,MID-SIZE,1.36,10,17,6.9,Petrol,25
1176,94.04639856,341,16.2,2.5,5,4,9.1,Automatic,100,SUV - SMALL,1.36,10,19,7.9,Petrol,22
1177,61.06854215,217,9.3,3.3,5,6,11.2,Automatic,160,COMPACT,1.41,10,17,8.6,Gas,27
1178,99.18935188,195,9.3,2.5,5,4,7.8,Automatic,112,COMPACT,1.36,10,18,5.1,Diesel,48
1179,109.3889695,286,15,3.5,14,6,11.8,Automatic,184,SUV - STANDARD,1.52,10,21,7.6,Petrol,18
1180,52.43688351,238,5.7,2.1,4,4,7.6,Automatic,104,SUBCOMPACT,1.3,10,15,5,Gas,44
1181,83.58775451,289,15.4,5.7,5,4,12.9,Automatic,127,MID-SIZE,1.41,10,21,10.6,Petrol,24
1182,60.11342231,189,10.6,3.6,4,6,8.9,Automatic,187,PICKUP TRUCK - SMALL,1.39,10,18,8.8,Petrol,29
1183,146.153199,282,9,2.4,7,6,8.8,Automatic,133,SUV - STANDARD,1.4,10,21,10.5,Petrol,30
1184,107.636869,220,9.7,2.2,18,4,9,Manual,96,STATION WAGON - SMALL,1.54,10,17,7.5,Petrol,26
1185,126.0184948,223,12.3,2,13,4,8.8,Automatic,85,SPECIAL PURPOSE VEHICLE,1.07,10,18,7.6,Petrol,46
1186,143.3292469,189,8,1.5,12,4,7.5,Automatic,87,SUV - SMALL,1.39,10,20,7.2,Petrol,42
1187,97.93880782,285,12.6,6.6,5,8,12.9,Automatic,237,MINICOMPACT,1.43,10,19,7.4,Gas,20
1188,98.16132766,231,11.9,1.8,5,4,8.9,Automatic,105,COMPACT,1.32,10,21,6.1,Petrol,37
1189,57.34246637,194,10.7,1.9,5,4,10,Automatic,121,COMPACT,1.3,10,18,6,Petrol,29
1190,87.3796281,246,12.5,3.7,5,6,12.7,Automatic,157,SUV - SMALL,1.41,10,17,13.9,Petrol,19
1191,128.6811305,225,10.5,2.7,4,4,11.5,Manual,105,SUV - SMALL,1.35,10,18,9.7,Petrol,31
1192,81.4938443,304,12.9,2.1,5,4,8.9,Automatic,88,SUV - SMALL,1.19,10,19,8.7,Petrol,32
1193,65.19732723,251,12.2,3.4,4,6,12.5,Automatic,161,MINICOMPACT,1.52,10,17,10.4,Gas,25
1194,54.2105948,332,12.9,5.5,13,8,18.6,Automatic,272,STATION WAGON - MID-SIZE,1.36,10,20,16.4,Petrol,21
1196,91.98909428,250,14.4,4.9,4,8,11,Automatic,203,SUBCOMPACT,1.31,10,17,13.3,Gas,20
1197,63.94730249,317,26.9,3.9,2,8,21.4,Automatic,240,VAN - CARGO,1.38,10,17,17.9,Gas,15
1198,73.02723814,184,9,1.9,5,4,6.5,Manual,108,SUV - SMALL,1.24,10,13,7.3,Petrol,42
1199,88.96960079,243,10.7,2.4,5,4,6.8,Manual,130,COMPACT,1.32,10,18,11.4,Gas,29
1200,61.3006057,303,12.8,1.8,5,4,11,Manual,112,COMPACT,1.44,10,17,7.4,Gas,32
1201,86.0339101,352,30.2,6.1,17,10,25.8,Automatic,317,VAN - PASSENGER,1.25,10,23,20.5,Petrol,11
1202,67.89926988,310,15.4,1.9,5,4,11.3,Automatic,108,SUBCOMPACT,1.42,10,17,9.4,Gas,26
1203,65.28953574,261,15.7,3.1,15,11,13.6,Automatic,156,PICKUP TRUCK - STANDARD,1.4,10,18,11,Petrol,14
1204,96.04044758,221,16.4,1.9,4,6,7.3,Automatic,90,MINICOMPACT,1.37,10,16,6.3,Gas,30
1205,78.06350802,260,9.8,1.2,5,4,6.1,Automatic,98,COMPACT,1.24,10,15,7,Gas,41
1206,56.2755117,199,9.6,1.5,5,4,9.1,Automatic,104,MID-SIZE,1.2,10,18,7,Petrol,26
1207,70.05748614,293,18.4,2.2,5,4,14.5,Automatic,105,SUBCOMPACT,1.44,10,18,9,Gas,23
1208,164.3631794,188,8.6,2.8,5,4,9,Automatic,114,MID-SIZE,1.4,10,15,5.6,Gas,56
1209,63.94487964,242,17,4.6,5,8,25.5,Automatic,251,MID-SIZE,1.66,10,19,11.7,Gas,22
1210,119.409341,260,20.4,3.8,7,6,14.1,Automatic,213,SUV - SMALL,1.22,10,17,11.2,Petrol,17
1211,72.3599925,430,16.4,5.4,5,8,17.1,Automatic,266,MID-SIZE,1.53,10,19,9.4,Gas,28
1212,101.3435985,282,12.3,3.7,4,4,11,Automatic,177,MID-SIZE,1.4,10,18,8.5,Gas,24
1213,76.91733854,301,14.7,4.4,5,8,13.7,Automatic,321,SUV - SMALL,1.18,10,21,15.5,Gas,20
1214,101.346281,430,15.8,5.6,5,8,10.9,Automatic,239,COMPACT,1.54,10,17,10.8,Gas,19
1215,69.35715488,295,15,5.6,5,8,18.8,Automatic,258,PICKUP TRUCK - STANDARD,1.41,10,17,14.5,Petrol,20
1216,97.58790375,220,8.8,2.4,5,4,10.2,Automatic,122,SUV - SMALL,1.32,10,20,5.5,Petrol,34
1217,61.45911083,153,8.7,1.8,5,4,7.1,Automatic,95,MID-SIZE,1.48,10,17,7.1,Petrol,40
1218,79.99461176,122,10.9,1.8,15,4,8.6,Automatic,118,SUV - SMALL,1.26,10,17,5.6,Petrol,41
1219,67.41439979,277,14.9,3.6,16,6,15.7,Automatic,188,PICKUP TRUCK - STANDARD,1.65,10,27,17.9,Petrol,13
1220,77.36828324,200,10.8,2.7,5,4,7.7,Automatic,164,COMPACT,1.48,10,21,7.3,Gas,40
1221,91.44704434,207,10.8,1.5,5,6,9.3,Automatic,116,FULL-SIZE,1.48,10,17,9.1,Petrol,36
1222,65.52206561,369,16,4.4,16,8,19,Automatic,216,VAN - CARGO,1.47,10,24,13.1,Petrol,12
1223,212,221,10.5,3.6,5,4,9.5,Automatic,97,SUV - SMALL,1.4,10,21,9.3,Petrol,40
1224,81.22926001,340,10.8,3.3,5,6,8.9,Automatic,158,COMPACT,1.41,10,19,9.5,Gas,43
1225,59.23199351,282,15.9,3.5,5,6,17.5,Automatic,168,FULL-SIZE,1.56,10,19,12.3,Gas,13
1226,89.36718115,202,7.8,2,5,4,6.1,Automatic,97,COMPACT,1.61,10,17,6.2,Gas,35
1227,76.20616102,390,21.6,5.3,2,8,25.1,Automatic,201,TWO-SEATER,1.59,10,24,13.4,Gas,14
1228,89.19597144,233,10.9,1.8,13,4,9,Automatic,82,COMPACT,1.37,10,18,7,Petrol,42
1229,49.00298484,152,7.9,2,14,4,7,Manual,80,COMPACT,1.41,10,21,4.9,Petrol,42
1230,62.31671137,144,7.2,2,5,8,8.5,Automatic,258,COMPACT,1.43,10,17,9,Gas,31
1231,91.89127833,182,7.8,1.6,5,4,9.4,Automatic,100,COMPACT,1.46,10,15,7.6,Gas,33
1232,92.14990374,232,12.2,3.5,5,4,9,Automatic,112,COMPACT,1.43,10,17,6.4,Gas,34
1233,81.37927987,163,6.9,2.3,14,4,7.1,Automatic,115,MID-SIZE,1.46,10,21,6.1,Petrol,37
1234,90.78454087,292,17.8,5.2,5,4,10.6,Automatic,267,SUV - SMALL,1.52,10,18,10.1,Gas,23
1235,57.0409333,195,10.5,3.8,4,6,11.6,Manual,131,SUBCOMPACT,1.44,10,18,7.8,Gas,25
1237,98.66392267,297,9.6,3.1,16,6,13.1,Automatic,96,COMPACT,1.26,10,17,9.7,Gas,31
1238,115.4734371,216,10.9,2.8,17,4,13.5,Automatic,119,SUV - SMALL,1.24,10,21,10.3,Petrol,31
1239,63.62659792,194,10.2,3.5,5,6,9.8,Automatic,171,MID-SIZE,1.67,10,18,12.9,Petrol,26
1240,66.39205339,284,9.9,3.4,5,6,14.3,Automatic,178,SUV - SMALL,1.38,10,21,7.5,Petrol,33
1241,185.0024327,211,14.4,1.4,14,4,7.5,Automatic,115,COMPACT,1.29,10,21,6.4,Petrol,60
1242,76.06474085,352,10.9,3.7,5,6,12.3,Automatic,155,MID-SIZE,1.51,10,16,9.8,Gas,21
1243,72.9713179,243,13.8,2.2,7,6,14.9,Automatic,234,SUV - STANDARD,1.51,10,22,14.6,Petrol,27
1244,63.48993199,226,7.6,2.1,5,4,8,Automatic,108,MID-SIZE,1.27,10,22,6.9,Gas,35
1245,77.57406525,430,23.3,5.7,12,8,13,Automatic,320,FULL-SIZE,1.52,10,24,14.3,Gas,13
1246,114.4952678,303,8.3,2.9,5,8,9.1,Automatic,147,COMPACT,1.45,10,17,7.3,Gas,35
1247,89.74005983,157,9.2,2.8,5,4,7.3,Automatic,95,MID-SIZE,1.76,10,17,6.4,Gas,28
1248,77.07454585,252,11.8,2.1,5,4,10.8,Manual,98,SUV - SMALL,1.21,10,18,11,Petrol,30
1249,86.44708307,207,7.4,1.9,5,4,7.3,Automatic,92,SUV - SMALL,1.29,10,17,5.5,Petrol,59
1250,62.42225422,440,18.9,5.3,3,8,14.4,Automatic,292,FULL-SIZE,1.64,10,20,13.7,Gas,20
1251,51.21071492,387,25.1,4.9,4,8,14.2,Automatic,237,SUBCOMPACT,1.54,10,22,12.5,Petrol,13
1252,103.8383273,199,6.3,3,5,6,10.8,Automatic,145,COMPACT,1.43,10,17,6.2,Gas,32
1253,86.12312358,155,10.8,1.5,14,4,7.5,Manual,95,STATION WAGON - SMALL,1.26,10,17,6.2,Petrol,32
1254,66.99896306,261,16.8,3.9,2,8,22.6,Automatic,240,TWO-SEATER,1.69,10,22,11.9,Gas,23
1255,104.5396485,225,11.4,3.4,5,4,8.9,Automatic,100,MID-SIZE,1.36,10,21,10.1,Petrol,21
1256,76.70219453,251,20.7,3.4,7,6,11.9,Automatic,164,MID-SIZE,1.56,10,17,9,Petrol,22
1257,110.0508097,162,5.2,1.4,5,4,6.6,Automatic,94,COMPACT,1.65,10,16,7.8,Gas,44
1258,66.9076163,211,5.1,1.2,5,4,6.3,Manual,56,STATION WAGON - SMALL,1.31,10,16,7.2,Diesel,45
1259,76.23281138,184,13.6,2.4,5,4,9.5,Automatic,108,COMPACT,1.49,10,17,7.7,Gas,26
1260,105.6319204,209,12.7,1.8,5,4,7.4,Automatic,110,STATION WAGON - SMALL,1.22,10,18,6.5,Petrol,60
1261,101.1266305,254,13.1,2.1,10,6,7.2,Automatic,112,SUV - SMALL,1.27,10,17,6.8,Petrol,43
1262,119.1968929,306,10.8,3.6,4,8,7.3,Automatic,164,MINICOMPACT,1.37,10,19,10.7,Gas,23
1263,52.56315157,239,14.7,5.7,5,8,12.2,Automatic,241,COMPACT,1.54,10,18,8.9,Gas,34
1264,62.30704819,320,19.9,6,4,8,12.2,Manual,274,MINICOMPACT,1.57,10,22,9.2,Gas,14
1265,84.44634497,340,12.1,3.4,7,8,19.1,Automatic,253,SUV - STANDARD,1.12,10,14,12.5,Petrol,20
1266,70.85670542,181,8.3,2.2,5,4,10.3,Automatic,101,STATION WAGON - SMALL,1.26,10,18,9,Petrol,54
1267,90.49157907,198,9.3,2,5,4,6.7,Manual,110,COMPACT,1.34,10,17,9.4,Petrol,40
1268,57.72293714,239,9.8,2.7,5,4,6,Automatic,78,COMPACT,1.29,10,18,7.7,Gas,43
1269,54.81278245,364,24.3,4.1,2,8,16,Automatic,281,STATION WAGON - SMALL,1.49,10,19,14.9,Gas,11
1270,68.23232278,442,25.2,6.1,14,8,25.8,Automatic,378,VAN - PASSENGER,1.43,10,23,18.5,Petrol,11
1271,80.55554956,445,24.9,5.4,14,8,25.8,Automatic,378,VAN - PASSENGER,1.11,10,23,15.2,Petrol,13
1272,79.23689435,267,8.4,3.5,5,6,10.9,Automatic,233,MID-SIZE,1.32,10,21,12.9,Petrol,28
1273,114.215137,185,18.1,2.5,5,6,8.9,Automatic,170,PICKUP TRUCK - SMALL,1.48,10,23,10.6,Petrol,19
1274,80.47450603,286,13.1,2.5,5,4,8.6,Automatic,105,COMPACT,1.62,10,16,9.1,Gas,18
1275,63.37504507,357,27.8,5.8,18,8,20.2,Automatic,264,SUV - SMALL,1.47,10,23,16.5,Petrol,11
1276,69.54681807,197,6.6,1.8,5,4,8.2,Automatic,91,MID-SIZE,1.34,10,20,6.2,Petrol,37
1277,60.19107678,309,19,5.2,5,8,15.8,Automatic,287,MID-SIZE,1.69,10,18,12.1,Gas,15
1278,54.92727408,223,15.5,3,7,6,15.3,Automatic,283,SUV - STANDARD,1.3,10,19,8.9,Petrol,22
1279,50.08776023,188,11.6,1.8,11,4,6.5,Automatic,85,COMPACT,1.3,10,18,6,Petrol,34
1280,62.14829953,324,13.7,3.6,5,6,13.1,Automatic,149,MID-SIZE,1.41,10,17,14.3,Gas,19
1281,105.4678084,208,12.9,3,5,4,10.6,Automatic,109,COMPACT,1.29,10,15,9,Gas,21
1282,83.43399869,187,7.8,1.6,2,4,10.2,Manual,66,TWO-SEATER,1.46,10,14,5.4,Gas,32
1283,99.52577036,303,12.2,3.5,5,6,9.2,Automatic,174,COMPACT,1.25,10,20,8.5,Petrol,23
1284,65.91019908,250,11.1,2.3,7,4,11.9,Automatic,132,SPECIAL PURPOSE VEHICLE,1.32,10,20,8.2,Petrol,27
1285,112.9109372,270,17.1,6,2,8,13.4,Automatic,253,MID-SIZE,1.54,10,17,7.2,Gas,23
1286,62.45905095,212,10.9,2.7,5,4,10.8,Automatic,102,MID-SIZE,1.7,10,16,7.2,Gas,35
1287,71.01046663,256,17.2,3.4,5,5,10.7,Automatic,180,COMPACT,1.35,10,18,10.3,Gas,25
1288,141.2343435,213,6.3,1.6,5,4,8.9,Automatic,101,COMPACT,0.87,10,18,5.3,Gas,49
1289,57.63476105,281,19.2,3.1,18,8,12.8,Automatic,224,SUV - STANDARD,1.27,10,18,11.8,Gas,20
1290,79.49359938,306,19,5.4,5,8,12.5,Manual,270,STATION WAGON - SMALL,1.61,10,25,13.6,Petrol,11
1291,108.4809473,183,12.7,2,5,4,9,Manual,108,COMPACT,1.49,10,21,5.4,Petrol,31
1292,114.6104173,266,12.1,1.9,5,4,9.2,Automatic,121,FULL-SIZE,1.18,10,18,6.7,Petrol,25
1293,51.73070153,309,12.2,5.4,5,4,9.1,Manual,104,SUBCOMPACT,1.54,10,18,7.4,Gas,17
1294,98.54974361,250,16.8,1.5,5,4,8.6,Manual,96,SUBCOMPACT,1.41,10,20,7.4,Gas,28
1295,65.33015928,239,21.5,4,5,8,20,Automatic,288,FULL-SIZE,1.57,10,23,12.8,Gas,19
1296,67.63432899,281,20.4,3.5,15,6,24.7,Automatic,164,PICKUP TRUCK - STANDARD,1.46,10,20,8.6,Petrol,18
1297,112.9401317,378,24.9,6.2,14,8,25.6,Automatic,378,VAN - PASSENGER,1.32,10,24,20,Petrol,17
1298,108.0829516,271,8.9,3.4,5,6,11.3,Automatic,95,SUV - STANDARD,1.27,10,21,8.2,Petrol,25
1299,66.19882649,230,8,3.6,5,6,8.2,Automatic,99,FULL-SIZE,1.25,10,17,6.9,Petrol,32
1300,61.1811713,313,16.2,4.5,5,8,15.8,Automatic,266,FULL-SIZE,1.57,10,21,14.8,Gas,20
1301,72.64725772,375,19.9,3.8,5,6,12.9,Automatic,332,STATION WAGON - SMALL,1.36,10,19,9.8,Petrol,23
1302,66.38340033,329,15.5,3.3,5,6,17.2,Automatic,169,MID-SIZE,1.34,10,16,7.5,Gas,23
1303,48.32292848,231,9.5,3.7,5,4,11.3,Automatic,77,PICKUP TRUCK - STANDARD,1.29,10,18,7.8,Petrol,23
1304,103.2748158,246,11,1.1,7,4,9.2,Automatic,88,SUV - SMALL,1.46,10,17,8,Petrol,32
1305,53.18735891,245,6.1,1.8,5,6,8,Automatic,134,MID-SIZE,1.21,10,15,6,Petrol,29
1306,64.88274743,224,20.7,3.5,5,6,12.8,Automatic,154,COMPACT,1.5,10,18,8,Gas,27
1307,59.67522911,161,5.5,1.3,5,4,5.4,Manual,50,COMPACT,1.43,10,14,5.7,Diesel,42
1308,71.55055792,352,30.2,5.4,13,11,20,Automatic,295,PICKUP TRUCK - STANDARD,1.33,10,23,14.2,Petrol,16
1309,99.02616831,203,9.9,2.1,5,4,11.1,Automatic,95,SUV - SMALL,1.26,10,18,6.8,Petrol,22
1310,100.3907562,292,10.5,3.6,4,6,11.1,Automatic,154,MINICOMPACT,1.52,10,19,9.5,Gas,26
1311,83.04185498,261,19.5,2.4,5,6,13.4,Manual,157,STATION WAGON - SMALL,1.43,10,17,8.6,Petrol,23
1312,58.12300827,228,14.2,2.6,7,6,9.8,Automatic,166,MINICOMPACT,1.03,10,18,7.2,Gas,26
1313,52.53153731,284,23.4,6,5,8,12.1,Automatic,236,MID-SIZE,1.63,10,18,15,Gas,20
1314,88.13528034,191,16.1,3.5,5,6,14.4,Automatic,242,MID-SIZE,1.25,10,15,12.7,Gas,26
1315,61.25846725,349,14.5,4.2,15,8,16.6,Automatic,296,SUV - STANDARD,1.48,10,21,13,Petrol,16
1316,81.65543149,389,14.1,4.5,13,10,17.5,Automatic,269,COMPACT,1.5,10,19,8.9,Gas,25
1317,70.15641017,220,15.1,4.7,5,8,12.6,Automatic,172,PICKUP TRUCK - STANDARD,1.45,10,19,8.6,Gas,21
1318,79.19769256,235,7.7,1.8,5,4,6.5,Manual,88,COMPACT,1.44,10,15,6.7,Diesel,58
1319,65.39453408,259,11.4,3.6,5,6,10.6,Automatic,165,MID-SIZE,1.11,10,22,8.9,Petrol,27
1320,100.5427654,260,10.2,2.2,5,6,7.6,Automatic,92,COMPACT,1.46,10,17,9.4,Gas,27
1321,54.50263676,287,11.5,3.7,7,6,12,Automatic,173,MINIVAN,1.44,10,18,8.6,Petrol,22
1322,74.56254577,301,15.2,4.2,2,8,12.6,Automatic,215,TWO-SEATER,1.44,10,19,9.3,Gas,25
1323,63.49635327,184,13.7,3.9,4,6,14.2,Automatic,180,MID-SIZE,1.19,10,17,9.6,Gas,20
1324,48.86602824,186,16,3.5,5,8,13.1,Automatic,259,MID-SIZE,1.52,10,19,13,Gas,22
1325,66.42388129,260,18,3.8,5,6,12.7,Automatic,151,COMPACT,1.71,10,19,12.1,Gas,21
1326,68.55463068,216,12.8,3.8,5,6,12.3,Automatic,163,MID-SIZE,1.42,10,17,8.9,Gas,21
1327,67.52719954,336,19.6,3.7,7,6,17.9,Automatic,164,SUV - SMALL,1.37,10,21,9.7,Petrol,14
1328,119.1548873,285,12.9,4.1,13,8,9.6,Automatic,268,COMPACT,1.37,10,18,8.2,Gas,15
1329,59.56760926,380,15.7,6.1,4,8,12.1,Automatic,191,SUBCOMPACT,1.44,10,20,11,Gas,26
1330,51.98845032,282,15.2,5.2,7,10,15.6,Automatic,327,COMPACT,1.35,10,24,16.2,Gas,18
1331,97.50135547,206,8.1,2.1,14,4,7.1,Automatic,92,COMPACT,1.19,10,19,5,Petrol,55
1332,66.15752082,265,12.1,4.8,5,8,10.9,Automatic,228,TWO-SEATER,1.57,10,17,9.7,Gas,25
1333,60.56527116,285,12.1,3.7,5,6,13.1,Automatic,174,PICKUP TRUCK - STANDARD,1.08,10,26,12.7,Petrol,17
1334,108.8774916,201,11.1,1.6,5,4,5.5,Automatic,93,COMPACT,1.55,10,17,5.9,Gas,37
1335,101.0425259,288,23.5,2.2,5,4,8.5,Automatic,90,FULL-SIZE,1.51,10,24,7,Petrol,23
1336,71.43710782,255,15.9,4.5,5,8,18.4,Automatic,241,SUV - STANDARD,1.47,10,16,11.2,Petrol,22
1337,120.581025,250,15.9,1.9,5,4,8.7,Automatic,84,COMPACT,1.21,10,16,10.3,Gas,28
1338,84.77166143,345,13.9,2.9,14,6,14.1,Automatic,261,SPECIAL PURPOSE VEHICLE,1.39,10,22,13.3,Petrol,12
1339,62.33623999,269,21.1,5.2,5,6,11.6,Automatic,266,MID-SIZE,1.51,10,19,13.6,Petrol,18
1340,59.04044524,325,22.6,4.9,5,8,17.2,Automatic,369,PICKUP TRUCK - SMALL,1.42,10,24,12.4,Gas,25
1341,54.974895,215,7.6,1.4,4,4,5.2,Automatic,79,COMPACT,1.36,10,14,6.6,Gas,58
1342,56.46146501,321,18.2,5.3,5,8,21.9,Automatic,302,FULL-SIZE,1.64,10,25,11.5,Gas,16
1343,76.24391092,243,14.8,3.6,5,6,12.6,Automatic,171,MINIVAN,1.41,10,18,10.6,Gas,31
1344,62.19075888,237,9.5,3.3,5,4,6.3,Manual,81,COMPACT,1.31,10,17,8.4,Petrol,38
1345,69.05465889,150,6.7,1.6,5,4,8.7,Manual,112,SUV - SMALL,1.2,10,19,7,Petrol,37
1347,87.68174446,327,17.6,5.9,16,8,16.6,Manual,237,PICKUP TRUCK - STANDARD,1.38,10,23,20.5,Petrol,12
1348,177.527153,180,8.5,1.7,5,4,7.5,Automatic,113,MID-SIZE,1.39,10,17,5.3,Petrol,48
1349,88.41393427,267,10.7,3,5,6,11.9,Automatic,176,PICKUP TRUCK - STANDARD,1.32,10,21,8.1,Petrol,18
1350,59.81361053,366,22,5.7,2,8,25.8,Automatic,219,VAN - PASSENGER,1.56,10,21,11.5,Gas,11
1351,63.21315008,281,11.3,3.7,5,6,12.7,Automatic,159,SUV - STANDARD,1.4,10,19,9.6,Petrol,28
1352,97.57713878,220,7.5,1.3,5,4,9.2,Manual,67,TWO-SEATER,1.4,10,14,6.5,Petrol,35
1353,72.57287381,203,7.2,1.8,5,4,8.5,Automatic,107,COMPACT,1.41,10,17,6.7,Petrol,52
1354,73.54200025,272,16.2,3.5,5,6,17.4,Automatic,260,MID-SIZE,1.49,10,17,9,Gas,14
1355,90.11150457,352,11.5,3.7,7,6,15,Manual,155,MINIVAN,1.17,10,21,9.3,Petrol,20
1356,49.45971,210,5.8,1.9,5,4,8.4,Automatic,90,MID-SIZE,1.38,10,17,6.3,Diesel,38
1357,52.51121996,379,19,3.2,5,6,16.1,Automatic,169,VAN - CARGO,1.36,10,18,11,Petrol,19
1358,63.60613191,389,23.9,4.8,12,11,16,Automatic,232,COMPACT,1.52,10,19,12.9,Petrol,14
1359,79.73855845,213,15.5,6.1,7,6,15,Automatic,256,PICKUP TRUCK - STANDARD,1.45,10,19,8.1,Gas,23
1360,119.5818234,182,7.3,1.4,5,4,11.1,Manual,100,SUV - SMALL,1.38,10,21,6.1,Petrol,31
1361,60.02102827,385,28.8,5.1,7,8,25.8,Automatic,311,SUV - STANDARD,1.21,10,25,17.6,Gas,17
1362,53.62359112,209,8.3,2,11,4,9.6,Automatic,120,SUV - SMALL,1.34,10,16,8.1,Petrol,35
1363,78.9636829,358,16.3,4.5,5,8,12.5,Automatic,227,TWO-SEATER,1.36,10,19,9.6,Gas,30
1364,91.95345253,262,11.6,3.4,5,4,9.3,Manual,95,COMPACT,1.58,10,15,8.4,Petrol,24
1365,58.00318238,266,8,2.9,7,6,7.9,Manual,90,SUV - SMALL,1.44,10,18,9,Gas,19
1366,75.28416497,156,12.3,1.9,5,4,9.1,Automatic,103,COMPACT,1.39,10,16,6.4,Petrol,31
1367,101.9297157,179,11.9,1.6,2,4,9.9,Manual,81,COMPACT,1.45,10,18,8,Gas,33
1368,54.01548164,280,18.9,3.7,5,6,12.4,Automatic,154,SUV - STANDARD,1.5,10,19,12.2,Petrol,22
1369,72.17394578,277,18.2,2,5,4,9.3,Manual,111,SUV - SMALL,1.56,10,19,6.8,Petrol,24
1370,212,190,8.1,1.7,5,4,8.4,Manual,96,COMPACT,1.28,10,18,4.9,Petrol,60
1371,70.39298017,322,18.4,3.8,5,8,14.3,Automatic,268,COMPACT,1.6,10,17,7.2,Gas,23
1372,63.93506824,204,13.1,1.9,13,4,13.5,Automatic,116,PICKUP TRUCK - STANDARD,1.5,10,22,7.3,Petrol,26
